Publication	Character Number	State Number	Textual Description	Entity ID	Entity Name	Quality ID	Quality Name	Additional Entity ID	Additional Entity Name	Count	Measurement	Unit ID	Unit Name	Curator Notes	
Malabarba 1998	1	0	pseudotympanum between the first and second pleural ribs; 0 absent; 1 present envolves different muscle or rib limts	TAO:0009057	pseudounipolar neuron	PATO:0000462	absent							need to complete 	
Malabarba 1998	1	1	pseudotympanum between the first and second pleural ribs; 0 absent; 1 present envolves different muscle or rib limts			PATO:0000467	present							need to complete 	
Malabarba 1998	2	0	Pseudotympanum anterior to the first pleural rib; 0 absent; 1 present, involve different muscle or rib limits			PATO:0000462	absent							need to complete	
Malabarba 1998	2	1	Pseudotympanum anterior to the first pleural rib; 0 absent; 1 present, involve different muscle or rib limits			PATO:0000467	present							need to complete	
Malabarba 1998	3	0	Caudal peduncle of mature males; 0 aligned with main body axis; 1 deeply arched ventrally, the last vertebrae reaching a 45 degrees position relative to the first caudal vertebrae	TAO:0000178	caudal peduncle	PATO:0001653	aligned with	TAO:0001559	vertebral column					need to complete, cadudal peduncle of mature males	
Malabarba 1998	3	1	Caudal peduncle of mature males; 0 aligned with main body axis; 1 deeply arched ventrally, the last vertebrae reaching a 45 degrees position relative to the first caudal vertebrae	TAO:0000178	caudal peduncle			TAO:0001559	vertebral column					need to complete,  cadudal peduncle of mature males	
Malabarba 1998	4	0	Symphyseal dentary joint; 0 presence of interclated bony folds; 1 articulates through rounded bony surfaces joined by tough ligamentous tissue											need to complete	
Malabarba 1998	4	1	Symphyseal dentary joint; 0 presence of interclated bony folds; 1 articulates through rounded bony surfaces joined by tough ligamentous tissue											need to complete	
Malabarba 1998	5	0	Dentary; 0 lacking a large anterior fenestra; 1 bearing a large anterior fenestra	TAO:0000191	dentary									need to complete	
Malabarba 1998	5	1	Dentary; 0 lacking a large anterior fenestra; 1 bearing a large anterior fenestra	TAO:0000191	dentary									need to complete	
Malabarba 1998	6	0	Posterior tip of maxilla; 0 enlarged; 1 narrow			PATO:0000586	increased size							need to complete	
Malabarba 1998	6	1	Posterior tip of maxilla; 0 enlarged; 1 narrow			PATO:0000599	decreased width							need to complete	
Malabarba 1998	7	0	maxillary shape; 0 elongate, with tooth-bearing portion angled relatively to premaxilla; 1 curved, with tooth-bering portion continuos with premaxilla and angled relatively to non tooth-bearing portion	TAO:0000270	maxilla	PATO:0001154	elongated								
Malabarba 1998	7	1	maxillary shape; 0 elongate, with tooth-bearing portion angled relatively to premaxilla; 1 curved, with tooth-bering portion continuos with premaxilla and angled relatively to non tooth-bearing portion	TAO:0000270	maxilla	PATO:0000406	curved								
Malabarba 1998	8	0	length of maxilla; 0 posterior tip reaching 1/3 of distance along length infraorbital 2; 1 posterior tip reaching area of contact between infraorbitals 1 and 2											need to complete	
Malabarba 1998	8	1	length of maxilla; 0 posterior tip reaching 1/3 of distance along length infraorbital 2; 1 posterior tip reaching area of contact between infraorbitals 1 and 2											need to complete	
Malabarba 1998	9	0	infraorbital; 0 infraorbital 1 to 6 present; 1 infraorbital 1 absent or fused with infraorbital 2	TAO:0000376	infraorbital	PATO:0000053	count			6					
Malabarba 1998	9	1	infraorbital; 0 infraorbital 1 to 6 present; 1 infraorbital 1 absent or fused with infraorbital 2	TAO:0000376	infraorbital	PATO:0000053	count			2					
Malabarba 1998	10	0	Infraorbital 1; 0 laterosensory tube present; laterosemsory tube absent	TAO:0000223	infraorbital 1	PATO:0000467	present							need to complete	
Malabarba 1998	10	1	Infraorbital 1; 0 laterosensory tube present; laterosemsory tube absent	TAO:0000223	infraorbital 1	PATO:0000462	absent							need to complete	
Malabarba 1998	11	0	elongation of second dorsal-fin ray of males; 0 absent; 1 present											need to complete, in males	
Malabarba 1998	11	1	elongation of second dorsal-fin ray of males; 0 absent; 1 present											need to complete	
Malabarba 1998	12	0	adipose fin; 0 present; 1 absent	TAO:0000251	adipose fin	PATO:0000467	present								
Malabarba 1998	12	1	adipose fin; 0 present; 1 absent	TAO:0000251	adipose fin	PATO:0000462	absent								
Malabarba 1998	13	0	coracoid; 0 elongate; 1 reduced in length, and more or less discoid in shape	TAO:0000332	coracoid	PATO:0001154	elongated								
Malabarba 1998	13	1	coracoid; 0 elongate; 1 reduced in length, and more or less discoid in shape	TAO:0000332	coracoid	PATO:0000574	decreased length								
Malabarba 1998	14	0	pelvic fin rays; 0 i+7 1; i+5-6	TAO:0001552	pelvic fin lepidotrichium	PATO:0000053	count			8					
Malabarba 1998	14	1	pelvic fin rays; 0 i+7 1; i+5-6	TAO:0001552	pelvic fin lepidotrichium	PATO:0000053	count			6=/>7					
Malabarba 1998	15	0	elongated unbranched pelvic-fin ray of males; 0 absent; 1 present			PATO:0000462	absent							need to complete, in males	
Malabarba 1998	15	1	elongated unbranched pelvic-fin ray of males; 0 absent; 1 present			PATO:0000467	present							need to complete	
Malabarba 1998	16	0	hooks on the pelvic-fin ray of females; 0 absent; 1 present			PATO:0000462	absent							need to complete, in female	
Malabarba 1998	16	0	hooks on the pelvic-fin ray of females; 0 absent; 1 present			PATO:0000467	present							need to complete, in female	
